Majority.protein.IDs,Fasta.headers,Score,id,uniprot_id,gene_symbol,description,WT_1,WT_2,WT_3,hnox_1,hnox_2,hnox_3,dgc_1,dgc_2,dgc_3,logFC_hnox_vs_WT,CI.L_hnox_vs_WT,CI.R_hnox_vs_WT,average_intensity_hnox_vs_WT,t_hnox_vs_WT,B_hnox_vs_WT,P.Value_hnox_vs_WT,adj.P.Val_hnox_vs_WT,sig.PVal_hnox_vs_WT,sig.FDR_hnox_vs_WT,logFC_dgc_vs_WT,CI.L_dgc_vs_WT,CI.R_dgc_vs_WT,average_intensity_dgc_vs_WT,t_dgc_vs_WT,B_dgc_vs_WT,P.Value_dgc_vs_WT,adj.P.Val_dgc_vs_WT,sig.PVal_dgc_vs_WT,sig.FDR_dgc_vs_WT,logFC_dgc_vs_hnox,CI.L_dgc_vs_hnox,CI.R_dgc_vs_hnox,average_intensity_dgc_vs_hnox,t_dgc_vs_hnox,B_dgc_vs_hnox,P.Value_dgc_vs_hnox,adj.P.Val_dgc_vs_hnox,sig.PVal_dgc_vs_hnox,sig.FDR_dgc_vs_hnox
A1AXX4,tr|A1AXX4|A1AXX4_PARDP Protoporphyrinogen IX oxidase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0001 PE=3 SV=1,8.0291,0,A1AXX4,Pden_0001,Protoporphyrinogen IX oxidase,15.25766136,15.46699245,15.10608433,15.16370928,15.35020022,15.33097222,15.32320779,14.58365075,14.33964565,0.004714529,-0.512134957,0.521564015,15.10245823,0.020904233,-7.353159702,0.983816062,0.994435276,0,0,-0.528077984,-1.04492747,-0.011228498,15.10245823,-2.341499178,-4.471830451,0.046206604,0.170647088,0,0,-0.532792512,-1.049641998,-0.015943026,15.10245823,-2.362403411,-5.200073968,0.044700608,0.135764867,0,0
A1AXX5,tr|A1AXX5|A1AXX5_PARDP Transcription termination factor Rho OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=rho PE=3 SV=1,63.259,1,A1AXX5,rho,Transcription termination factor Rho,19.32395875,19.18570822,19.43906911,18.63804078,18.89843802,18.54654454,18.85827354,19.24054425,19.39928033,-0.621904244,-0.96268877,-0.281119718,19.05887306,-4.182189337,-2.121199501,0.002832845,0.033918596,0,0,-0.15021265,-0.490997176,0.190571876,19.05887306,-1.010151882,-6.260096103,0.340971153,0.526103257,0,0,0.471691594,0.130907068,0.81247612,19.05887306,3.172037455,-3.905734287,0.012553573,0.056085119,0,0
A1AXX6,sp|A1AXX6|MNME_PARDP tRNA modification GTPase MnmE OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=mnmE PE=3 SV=1,48.773,2,A1AXX6,mnmE,tRNA modification GTPase MnmE,17.31086969,17.45355032,17.54807021,17.74592278,17.84416783,17.70812215,17.50777048,17.54864817,17.4729725,0.32857418,0.165767038,0.491381322,17.57112157,4.609128752,-1.457450597,0.001492453,0.024065588,0,0,0.072300311,-0.09050683,0.235107453,17.57112157,1.014204597,-6.256624132,0.338569774,0.523898317,0,0,-0.256273869,-0.41908101,-0.093466727,17.57112157,-3.594924155,-3.214096798,0.006396607,0.035312419,0,0
A1AXX7,sp|A1AXX7|MNMG_PARDP tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=mnmG PE=3 SV=1,129.96,3,A1AXX7,mnmG,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG,20.29284819,20.37369065,20.44883037,20.30108667,20.52866657,20.16237409,20.26121567,20.26908155,20.28606165,-0.041080627,-0.247903633,0.16574238,20.32487282,-0.453625096,-7.24020915,0.66149304,0.819715847,0,0,-0.099670111,-0.306493117,0.107152896,20.32487282,-1.100588456,-6.167680651,0.301359497,0.487605096,0,0,-0.058589484,-0.265412491,0.148233523,20.32487282,-0.64696336,-7.355577842,0.534787309,0.68456069,0,0
A1AXX8,sp|A1AXX8|RSMG_PARDP Ribosomal RNA small subunit methyltransferase G OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=rsmG PE=3 SV=1,45.756,4,A1AXX8,rsmG,Ribosomal RNA small subunit methyltransferase G,19.39080664,19.49301931,19.47249199,19.44437423,19.41335425,19.53937146,19.42830348,19.45573781,19.46200193,0.013594002,-0.112018649,0.139206653,19.45549568,0.247156945,-7.319515099,0.810671046,0.913867238,0,0,-0.003424907,-0.129037558,0.122187744,19.45549568,-0.062269335,-6.790082419,0.951792426,0.971628949,0,0,-0.017018909,-0.14263156,0.108593742,19.45549568,-0.30942628,-7.530283175,0.764470984,0.853849432,0,0
A1AXX9,"tr|A1AXX9|A1AXX9_PARDP Cobyrinic acid a,c-diamide synthase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0006 PE=4 SV=1",154.23,5,A1AXX9,Pden_0006,"Cobyrinic acid a,c-diamide synthase",20.68461863,20.77867025,20.77764322,20.61613496,20.76916107,20.44893977,20.62386841,20.61824279,20.59144379,-0.135565431,-0.317972601,0.046841738,20.65652477,-1.697328545,-5.973601213,0.125960645,0.320130168,0,0,-0.13579237,-0.31819954,0.046614799,20.65652477,-1.700169906,-5.421837879,0.125411411,0.296932183,0,0,-0.000226939,-0.182634109,0.18218023,20.65652477,-0.002841361,-7.583365241,0.997798694,0.998526007,0,0
A1AXY0,tr|A1AXY0|A1AXY0_PARDP ParB-like partition protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0007 PE=3 SV=1,160.84,6,A1AXY0,Pden_0007,ParB-like partition protein,21.90745191,21.92347862,21.87847567,21.89461811,21.93375724,21.72729365,21.71010063,21.77890842,21.69649182,-0.051245731,-0.197795775,0.095304312,21.82784179,-0.798602389,-7.011097442,0.44632757,0.665784316,0,0,-0.174635108,-0.321185152,-0.028085065,21.82784179,-2.721475739,-3.867911064,0.02485355,0.128500255,0,0,-0.123389377,-0.26993942,0.023160666,21.82784179,-1.922873349,-5.873408434,0.088676522,0.213680278,0,0
A1AXY1,tr|A1AXY1|A1AXY1_PARDP Protein GrpE OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=grpE PE=3 SV=1,54.889,7,A1AXY1,grpE,Protein GrpE,22.20392004,21.93291468,22.09838953,21.99940794,21.97088547,22.09796044,21.9887907,21.84418391,21.69060978,-0.055656797,-0.271972282,0.160658688,21.98078472,-0.587610381,-7.164989181,0.572118707,0.757567318,0,0,-0.237213285,-0.453528771,-0.0208978,21.98078472,-2.504437847,-4.211158222,0.035137324,0.14860275,0,0,-0.181556488,-0.397871973,0.034758997,21.98078472,-1.916827466,-5.882418674,0.089523119,0.214748047,0,0
A1AXY2,tr|A1AXY2|A1AXY2_PARDP Heat-inducible transcription repressor HrcA OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=hrcA PE=3 SV=1,15.231,8,A1AXY2,hrcA,Heat-inducible transcription repressor HrcA,15.11771412,15.17413369,15.02824247,14.93955708,14.83538679,14.48094549,14.27164399,14.43480815,15.38305387,-0.354733641,-0.96010733,0.250640048,14.85172063,-1.342885152,-6.443218695,0.214885896,0.439895596,0,0,-0.410194757,-1.015568446,0.195178932,14.85172063,-1.55283961,-5.622921516,0.157718953,0.338561641,0,0,-0.055461116,-0.660834805,0.549912573,14.85172063,-0.209954459,-7.558800935,0.838767471,0.90821526,0,0
A1AXY3,tr|A1AXY3|A1AXY3_PARDP Ribonuclease PH OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=rph PE=3 SV=1,25.819,9,A1AXY3,rph,Ribonuclease PH,18.72586113,18.90222858,18.94408797,18.25294277,18.27364369,18.65168679,18.51214582,18.61443874,18.32221561,-0.464634814,-0.749375429,-0.179894198,18.57769457,-3.735630041,-2.791320863,0.005318559,0.046671658,0,0,-0.374459172,-0.659199788,-0.089718557,18.57769457,-3.010624457,-3.418335329,0.015994337,0.107973224,0,0,0.090175641,-0.194564974,0.374916257,18.57769457,0.725005584,-7.298716122,0.488266205,0.647655911,0,0
A1AXY4,tr|A1AXY4|A1AXY4_PARDP dITP/XTP pyrophosphatase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0011 PE=3 SV=1,39.587,10,A1AXY4,Pden_0011,dITP/XTP pyrophosphatase,22.3491869,22.44629323,22.22587666,22.23908157,22.34191996,22.3017361,22.41718656,22.42073158,22.50659357,-0.046206383,-0.200807043,0.108394276,22.36095624,-0.682573614,-7.100910962,0.513103456,0.719867574,0,0,0.10771831,-0.046882349,0.262318969,22.36095624,1.591244992,-5.571214922,0.148113222,0.324932427,0,0,0.153924694,-0.000675966,0.308525353,22.36095624,2.273818606,-5.334427738,0.050803935,0.147484698,0,0
A1AXY5,tr|A1AXY5|A1AXY5_PARDP Endoribonuclease L-PSP OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0012 PE=4 SV=1,87.222,11,A1AXY5,Pden_0012,Endoribonuclease L-PSP,16.81122472,16.89493174,16.60825131,18.45763397,17.39238717,19.12183513,17.48087705,17.81522581,17.03895593,1.552482831,0.659259396,2.445706265,17.51348031,3.983150664,-2.420171171,0.003756814,0.039210756,1,1,0.673550339,-0.219673096,1.566773773,17.51348031,1.728104444,-5.38373193,0.12088261,0.290506468,0,0,-0.878932492,-1.772155927,0.014290943,17.51348031,-2.25504622,-5.368451817,0.052989872,0.151586344,0,0
A1AXY6,tr|A1AXY6|A1AXY6_PARDP Heme chaperone HemW OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0013 PE=3 SV=1,47.481,12,A1AXY6,Pden_0013,Heme chaperone HemW,17.65958202,17.88442035,17.74025021,17.79202733,17.90770308,17.89246044,17.86357963,17.86164039,17.97737258,0.10264609,-0.06189006,0.267182241,17.84211511,1.424754175,-6.340708539,0.190004077,0.409730912,0,0,0.139446676,-0.025089475,0.303982826,17.84211511,1.935555784,-5.083804373,0.086925325,0.23678142,0,0,0.036800586,-0.127735565,0.201336736,17.84211511,0.510801609,-7.440083798,0.622531533,0.750988073,0,0
A1AXY8,sp|A1AXY8|GFA_PARDP Glutathione-dependent formaldehyde-activating enzyme OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=gfa PE=3 SV=1,23.455,13,A1AXY8,gfa,Glutathione-dependent formaldehyde-activating enzyme,17.96029877,17.94871618,18.0372237,17.69725994,17.47423045,17.64853907,18.09472616,18.16521655,18.31630678,-0.375403062,-0.557834696,-0.192971428,17.9269464,-4.69955268,-1.327031182,0.001320353,0.022801489,0,0,0.210003613,0.02757198,0.392435247,17.9269464,2.628969085,-4.014510796,0.028800129,0.136357727,0,0,0.585406676,0.402975042,0.767838309,17.9269464,7.328521765,1.78142191,6.07E-05,0.001386852,0,0
A1AXY9,tr|A1AXY9|A1AXY9_PARDP S-(hydroxymethyl)glutathione dehydrogenase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0016 PE=3 SV=1,148.72,14,A1AXY9,Pden_0016,S-(hydroxymethyl)glutathione dehydrogenase,22.31365764,22.37981274,22.41311558,22.32090234,22.26582172,22.19335492,22.295528,22.22798498,22.08559574,-0.108835663,-0.265251305,0.04757998,22.27730818,-1.589095153,-6.123563326,0.148596666,0.349318864,0,0,-0.165825747,-0.32224139,-0.009410105,22.27730818,-2.421199861,-4.341918094,0.040139615,0.157181108,0,0,-0.056990085,-0.213405727,0.099425558,22.27730818,-0.832104708,-7.212295404,0.428178806,0.596369535,0,0
A1AXZ0,tr|A1AXZ0|A1AXZ0_PARDP ATP-dependent Clp protease proteolytic subunit OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=clpP PE=3 SV=1,38.931,15,A1AXZ0,clpP,ATP-dependent Clp protease proteolytic subunit,20.69632542,20.48747122,20.63763229,20.043074,20.33168603,19.87964318,20.18707495,20.06616524,20.37080582,-0.522341904,-0.809842403,-0.234841405,20.29998646,-4.160442477,-2.146459286,0.002891195,0.034161754,0,0,-0.399127638,-0.686628137,-0.111627139,20.29998646,-3.179043394,-3.154918782,0.012345283,0.097818214,0,0,0.123214266,-0.164286233,0.410714765,20.29998646,0.981399083,-7.074343544,0.354018731,0.527795497,0,0
A1AXZ1,tr|A1AXZ1|A1AXZ1_PARDP GCN5-related N-acetyltransferase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0018 PE=4 SV=1,23.668,16,A1AXZ1,Pden_0018,GCN5-related N-acetyltransferase,18.85843369,18.81535751,18.77335665,18.85481403,18.93784538,18.99823206,19.19291697,19.03219752,18.98259461,0.114581205,-0.044287887,0.273450296,18.93841649,1.647148786,-6.043758083,0.136031771,0.332549537,0,0,0.253520412,0.094651321,0.412389504,18.93841649,3.644453217,-2.416748484,0.005937908,0.06373197,0,0,0.138939208,-0.019929884,0.297808299,18.93841649,1.997304431,-5.761606458,0.078860757,0.196531804,0,0
A1AXZ2,sp|A1AXZ2|SFGH_PARDP S-formylglutathione hydrolase OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=fghA PE=1 SV=1,22.766,17,A1AXZ2,fghA,S-formylglutathione hydrolase,18.14908528,18.09637492,18.26251332,17.98767007,18.24711412,18.33728697,18.09662728,18.07130134,17.87625178,0.021365879,-0.212023458,0.254755216,18.1249139,0.20907332,-7.329129168,0.83933072,0.9266893,0,0,-0.154597707,-0.387987044,0.07879163,18.1249139,-1.512797849,-5.675518275,0.16669991,0.35140028,0,0,-0.175963586,-0.409352923,0.05742575,18.1249139,-1.721871169,-6.166424199,0.121288861,0.25973942,0,0
A1AXZ3,tr|A1AXZ3|A1AXZ3_PARDP Pyrrolo-quinoline quinone OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0020 PE=3 SV=1,17.402,18,A1AXZ3,Pden_0020,Pyrrolo-quinoline quinone,17.10689613,16.66185849,16.61153909,16.14506667,15.91676393,15.69375421,16.60991301,16.71937267,17.00012749,-0.874902966,-1.26097237,-0.488833561,16.49614352,-5.193433075,-0.686875524,0.000738223,0.015537281,0,0,-0.016960177,-0.403029582,0.369109227,16.49614352,-0.100675789,-6.7866177,0.922198259,0.953345933,0,0,0.857942788,0.471873383,1.244012193,16.49614352,5.092757286,-1.03175857,0.000838394,0.008962832,0,0
A1AXZ5,"tr|A1AXZ5|A1AXZ5_PARDP Amino acid ABC transporter substrate-binding protein, PAAT family OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0022 PE=4 SV=1",3.9888,19,A1AXZ5,Pden_0022,"Amino acid ABC transporter substrate-binding protein, PAAT family",17.75570958,17.96535056,17.86392571,17.8288015,17.82472014,17.34015927,17.67563007,17.7546235,17.79277854,-0.197101648,-0.493385129,0.099181834,17.75574432,-1.523739183,-6.21167901,0.164621816,0.373938595,0,0,-0.120651248,-0.416934729,0.175632234,17.75574432,-0.932721951,-6.334808808,0.37722556,0.555593569,0,0,0.0764504,-0.219833082,0.372733882,17.75574432,0.591017232,-7.392226663,0.570206049,0.711173656,0,0
A1AXZ7,tr|A1AXZ7|A1AXZ7_PARDP SRPBCC family protein OS=Paracoccus denitrificans (strain Pd 1222) OX=318586 GN=Pden_0024 PE=4 SV=1,34.922,20,A1AXZ7,Pden_0024,SRPBCC family protein,16.59548582,16.4791073,16.32733966,16.35424771,16.17496953,16.37458699,16.81244402,16.7755613,16.76804714,-0.16604285,-0.352549308,0.020463608,16.51797661,-2.033223702,-5.480558365,0.074505323,0.237535314,0,0,0.318039895,0.131533437,0.504546353,16.51797661,3.894454067,-2.035970949,0.004099163,0.053823678,0,0,0.484082744,0.297576286,0.670589202,16.51797661,5.927677769,0.127236654,0.000280583,0.004063929,0,0
